"Enable Negotiated Rates","Enable Negotiated Rates"
"Enable SSL Verification","Enable SSL Verification"
"Enabled for Checkout","Enabled for Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Enables/Disables SSL verification of Magento server by UPS."
"EPS (Electronic Payment System) for most businesses. PERMIT for permit imprint accounts. METER for legacy postage meter accounts. Only sent to API when using COMMERCIAL pricing.","EPS (Electronic Payment System) for most businesses. PERMIT for permit imprint accounts. METER for legacy postage meter accounts. Only sent to API when using COMMERCIAL pricing."
"EPS (Enterprise Payment System)","EPS (Enterprise Payment System)"
"EPS Account Number","EPS Account Number"
"EPS: Standard electronic payment rates (no account number needed). COMMERCIAL: Negotiated business rates (requires account number). Choose based on your USPS business account type.","EPS: Standard electronic payment rates (no account number needed). COMMERCIAL: Negotiated business rates (requires account number). Choose based on your USPS business account type."
"Error #%s : %s","Error #%s : %s"
"Error #%s : %s (%s)","Error #%s : %s (%s)"
"Error #%s: %s","Error #%s: %s"
"Error reading response from UPS","Error reading response from UPS"
"Europack","Europack"
"Europe First Priority","Europe First Priority"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped"
"Express","Express"
"Express 10:30","Express 10:30"
"Express 10:30 AM","Express 10:30 AM"
"Express 12:00","Express 12:00"
"Express 9:00","Express 9:00"
"Express easy","Express easy"
"Express envelope","Express envelope"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"Express worldwide","Express worldwide"
"Failed to encode label request payload","Failed to encode label request payload"
"Failed to parse xml document: %s","Failed to parse xml document: %s"
"Failed to update address.","Failed to update address."
"Fallback container type when product attribute not set","Fallback container type when product attribute not set"
"Fallback package size classification","Fallback package size classification"
"Fallback when product package_height not set. Default: 1""","Fallback when product package_height not set. Default: 1"""
"Fallback when product package_length not set. Default: 6""","Fallback when product package_length not set. Default: 6"""
"Fallback when product package_width not set. Default: 4""","Fallback when product package_width not set. Default: 4"""
"Feature Toggles","Feature Toggles"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"Field","Field"
"Field ""%s"" has wrong value.","Field ""%s"" has wrong value."
"First Overnight","First Overnight"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Metered Letter","First-Class Mail Metered Letter"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Mail Stamped Letter","First-Class Mail Stamped Letter"
"First-Class Package International","First-Class Package International"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"For non-rectangular packages: (2×width) + (2×height)","For non-rectangular packages: (2×width) + (2×height)"
"Free Method","Free Method"
"Free Shipping with Minimum Order Amount","Free Shipping with Minimum Order Amount"
"Freight","Freight"
"Freight worldwide","Freight worldwide"
"Gateway REST URL","Gateway REST URL"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Gift","Gift"
"Girth","Girth"
"Girth (inches)","Girth (inches)"
"Global Express Guaranteed","Global Express Guaranteed"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Globalmail business"
"Ground","Ground"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Handling Applied"
"Handling Fee","Handling Fee"
"Height","Height"
"Height (inches)","Height (inches)"
"Height, width and length should be equal or greater than %s","Height, width and length should be equal or greater than %s"
"Home Delivery","Home Delivery"
"How long to cache rate quotes. Default: 3600 (1 hour). Set to 0 to disable caching.","How long to cache rate quotes. Default: 3600 (1 hour). Set to 0 to disable caching."
"Hub ID","Hub ID"
"inch","inch"
"Inches","Inches"
"Indirect","Indirect"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid form key. Please refresh the page.","Invalid form key. Please refresh the page."
"Jetline","Jetline"
"Jumbo box","Jumbo box"
"Keep My Address","Keep My Address"
"Key","Key"
"Kilograms","Kilograms"
"Label API request failed: %s","Label API request failed: %s"
"Label generation failed (HTTP %s)","Label generation failed (HTTP %s)"
"Large","Large"
"Large Express Box","Large Express Box"
"Length","Length"
"Length (inches)","Length (inches)"
"Letter","Letter"
"Library Mail","Library Mail"
"Library Mail Parcel","Library Mail Parcel"
"Live","Live"
"Machinable","Machinable"
"Mailer Identifier (MID)","Mailer Identifier (MID)"
"Manifest Mailer ID for SCAN forms and shipping manifests. Required only when generating labels and manifests. Not needed for rate quotes.","Manifest Mailer ID for SCAN forms and shipping manifests. Required only when generating labels and manifests. Not needed for rate quotes."
"Manifest MID","Manifest MID"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)"
"Media Mail","Media Mail"
"Media Mail Parcel","Media Mail Parcel"
"Medical express","Medical express"
"Medium Express Box","Medium Express Box"
"Merchandise","Merchandise"
"Meter","Meter"
"Meter Number","Meter Number"
"Method toOptionArray not found in source model.","Method toOptionArray not found in source model."
"Minimum Order Amount for Free Shipping","Minimum Order Amount for Free Shipping"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)"
"Mode","Mode"
"Multiple addresses match. Please be more specific.","Multiple addresses match. Please be more specific."
"National Freight","National Freight"
"Next Afternoon","Next Afternoon"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","No"
"No packages for request","No packages for request"
"No suggestions available","No suggestions available"
"Non Documents","Non Documents"
"Non documents","Non documents"
"Non-rectangular","Non-rectangular"
"None","None"
"Not Required","Not Required"
"OAuth2 Client ID from your USPS Business Account. Required for all API operations including rate quotes.","OAuth2 Client ID from your USPS Business Account. Required for all API operations including rate quotes."
"OAuth2 Client Secret from your USPS Business Account. Keep this secure - never share or expose in frontend code.","OAuth2 Client Secret from your USPS Business Account. Keep this secure - never share or expose in frontend code."
"One-click setup: Creates <strong>package_length</strong>, <strong>package_width</strong>, <strong>package_height</strong> attributes. Run once before configuring product dimensions.","One-click setup: Creates <strong>package_length</strong>, <strong>package_width</strong>, <strong>package_height</strong> attributes. Run once before configuring product dimensions."
"Optional - Only required for international shipping labels (not implemented yet)","Optional - Only required for international shipping labels (not implemented yet)"
"Optional - Only required for shipping label manifests (not implemented yet)","Optional - Only required for shipping label manifests (not implemented yet)"
"Order","Order"
"Order #%s","Order #%s"
"Origin of the Shipment","Origin of the Shipment"
"Origin serviceAreaCode is missing","Origin serviceAreaCode is missing"
"Original","Original"
"Other","Other"
"Others","Others"
"Package","Package"
"Package content is missing","Package content is missing"
"Package Description","Package Description"
"Packages Request Type","Packages Request Type"
"Packaging","Packaging"
"PAK","PAK"
"Pallet","Pallet"
"Parcel","Parcel"
"Parcel Select","Parcel Select"
"Parcel Select - USPS Delivery","Parcel Select - USPS Delivery"
"Parcel Select Lightweight","Parcel Select Lightweight"
"Password","Password"
"Permit Reply Mail","Permit Reply Mail"
"Permit ZIP Code","Permit ZIP Code"
"Pickup Method","Pickup Method"
"Piece Id barcode is missing","Piece Id barcode is missing"
"Piece number information is missing","Piece number information is missing"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Please verify your shipping address.","Please verify your shipping address."
"Please, specify origin country","Please, specify origin country"
"Pounds","Pounds"
"Pricing Options","Pricing Options"
"Priority Mail","Priority Mail"
"Priority Mail - APO/FPO/DPO","Priority Mail - APO/FPO/DPO"
"Priority Mail - Cubic","Priority Mail - Cubic"
"Priority Mail - Flat Rate Envelope","Priority Mail - Flat Rate Envelope"
"Priority Mail - Large Flat Rate Box","Priority Mail - Large Flat Rate Box"
"Priority Mail - Legal Flat Rate Envelope","Priority Mail - Legal Flat Rate Envelope"
"Priority Mail - Medium Flat Rate Box","Priority Mail - Medium Flat Rate Box"
"Priority Mail - Padded Flat Rate Envelope","Priority Mail - Padded Flat Rate Envelope"
"Priority Mail - Small Flat Rate Box","Priority Mail - Small Flat Rate Box"
"Priority Mail Express","Priority Mail Express"
"Priority Mail Express - Flat Rate Box","Priority Mail Express - Flat Rate Box"
"Priority Mail Express - Flat Rate Envelope","Priority Mail Express - Flat Rate Envelope"
"Priority Mail Express - Legal Flat Rate Envelope","Priority Mail Express - Legal Flat Rate Envelope"
"Priority Mail Express - Padded Flat Rate Envelope","Priority Mail Express - Padded Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope","Priority Mail Express Flat Rate Envelope"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Priority Mail Express Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Hold For Pickup","Priority Mail Express Hold For Pickup"
"Priority Mail Express International","Priority Mail Express International"
"Priority Mail Express International - Flat Rate Envelope","Priority Mail Express International - Flat Rate Envelope"
"Priority Mail Express International - Legal Flat Rate Envelope","Priority Mail Express International - Legal Flat Rate Envelope"
"Priority Mail Express International - Padded Flat Rate Envelope","Priority Mail Express International - Padded Flat Rate Envelope"
"Priority Mail Express International Flat Rate Envelope","Priority Mail Express International Flat Rate Envelope"
"Priority Mail Express International Legal Flat Rate Envelope","Priority Mail Express International Legal Flat Rate Envelope"
"Priority Mail Express International Padded Flat Rate Envelope","Priority Mail Express International Padded Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope","Priority Mail Express Legal Flat Rate Envelope"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Priority Mail Express Legal Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Padded Flat Rate Envelope","Priority Mail Express Padded Flat Rate Envelope"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Priority Mail Express Padded Flat Rate Envelope Hold For Pickup"
"Priority Mail Express Sunday/Holiday Delivery","Priority Mail Express Sunday/Holiday Delivery"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope"
