" There was an error occurred during paying process."," There was an error occurred during paying process."
"An error has occured","An error has occured"
"An error occurred during the payment process.","An error occurred during the payment process."
"Bank","Bank"
"Credit Mutuel","Credit Mutuel"
"Customer Interface language","Customer Interface language"
"Customer has returned from Cybermut.","Customer has returned from Cybermut."
"Customer was redirected to Cybermut","Customer was redirected to Cybermut"
"Debug","Debug"
"Dutch","Dutch"
"Enabled","Enabled"
"English","English"
"French","French"
"German","German"
"Groupe CIC","Groupe CIC"
"Italian","Italian"
"Key","Key"
"New Order Status","New Order Status"
"OBC","OBC"
"Order #%s","Order #%s"
"Order number will be used if left empty.","Order number will be used if left empty."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Returned MAC is invalid. Order cancelled.","Returned MAC is invalid. Order cancelled."
"SHA Key","SHA Key"
"Site Code","Site Code"
"Sort Order","Sort Order"
"Spain","Spain"
"TPE Number","TPE Number"
"Test Mode","Test Mode"
"The customer successfully returned from Cybermut.","The customer successfully returned from Cybermut."
"Title","Title"
"Transaction Description","Transaction Description"
"You will be redirected to Cybermut in a few seconds.","You will be redirected to Cybermut in a few seconds."
"You will be redirected to Cybermut website when you place an order.","You will be redirected to Cybermut website when you place an order."
